Date,Open,High,Low,Close,Ticker 
"Aug 10, 2015",74.41,74.44,72.26,73.6,MOEX
"Aug 11, 2015",73.45,74.2,73.25,73.6,MOEX
"Aug 12, 2015",73.75,74.84,73.21,74.0,MOEX
"Aug 13, 2015",74.16,75.22,73.2,75.2,MOEX
"Aug 14, 2015",74.66,76.8,74.22,76.18,MOEX
"Aug 17, 2015",75.0,76.74,74.66,76.0,MOEX
"Aug 18, 2015",75.51,76.36,74.13,75.2,MOEX
"Aug 19, 2015",75.11,76.2,74.18,74.3,MOEX
"Aug 20, 2015",74.19,75.5,74.16,74.52,MOEX
"Aug 21, 2015",74.51,74.97,71.8,71.8,MOEX
"Aug 24, 2015",70.0,71.37,66.55,69.5,MOEX
"Aug 25, 2015",69.52,71.78,69.5,71.4,MOEX
"Aug 26, 2015",71.2,71.66,70.15,71.1,MOEX
"Aug 27, 2015",71.6,74.55,71.12,73.42,MOEX
"Aug 28, 2015",74.3,74.57,72.3,74.0,MOEX
"Aug 31, 2015",73.71,74.32,73.05,74.31,MOEX
"Sep 01, 2015",74.19,76.6,73.87,76.6,MOEX
"Sep 02, 2015",76.05,76.8,74.67,74.91,MOEX
"Sep 03, 2015",75.39,76.43,75.3,75.43,MOEX
"Sep 04, 2015",75.35,76.4,74.82,76.1,MOEX
"Sep 07, 2015",76.23,76.23,73.08,73.99,MOEX
"Sep 08, 2015",74.01,75.18,73.8,75.0,MOEX
"Sep 09, 2015",75.38,76.77,74.88,74.88,MOEX
"Sep 10, 2015",74.9,78.0,74.62,77.61,MOEX
"Sep 11, 2015",77.8,80.89,77.79,80.59,MOEX
"Sep 14, 2015",80.57,84.48,80.01,81.97,MOEX
"Sep 15, 2015",82.58,82.59,78.92,79.99,MOEX
"Sep 16, 2015",80.32,80.68,79.09,79.31,MOEX
"Sep 17, 2015",79.31,83.97,79.12,81.88,MOEX
"Sep 18, 2015",82.47,82.87,80.0,80.0,MOEX
"Sep 21, 2015",80.69,81.7,80.03,80.89,MOEX
"Sep 22, 2015",80.65,81.54,79.83,79.99,MOEX
"Sep 23, 2015",80.3,80.9,79.0,79.0,MOEX
"Sep 24, 2015",79.59,81.38,78.71,79.4,MOEX
"Sep 25, 2015",79.95,80.99,78.23,80.48,MOEX
"Sep 28, 2015",80.51,81.16,77.2,77.5,MOEX
"Sep 29, 2015",77.5,79.5,77.01,79.5,MOEX
"Sep 30, 2015",79.66,80.84,79.0,80.0,MOEX
"Oct 01, 2015",80.47,80.83,78.12,79.15,MOEX
"Oct 02, 2015",79.02,79.42,76.15,77.6,MOEX
"Oct 05, 2015",78.0,80.57,77.77,78.79,MOEX
"Oct 06, 2015",78.92,82.08,78.23,81.5,MOEX
"Oct 07, 2015",82.49,83.9,79.62,83.68,MOEX
"Oct 08, 2015",83.32,84.23,82.85,83.05,MOEX
"Oct 09, 2015",83.5,86.45,82.5,85.4,MOEX
"Oct 12, 2015",85.4,88.2,85.21,88.2,MOEX
"Oct 13, 2015",87.98,88.71,85.98,86.95,MOEX
"Oct 14, 2015",86.5,88.16,84.04,85.7,MOEX
"Oct 15, 2015",85.01,86.62,83.5,83.54,MOEX
"Oct 16, 2015",83.98,85.98,83.7,85.9,MOEX
"Oct 19, 2015",85.72,86.62,84.55,86.3,MOEX
"Oct 20, 2015",86.3,86.4,84.13,86.25,MOEX
"Oct 21, 2015",86.0,86.0,84.7,85.99,MOEX
"Oct 22, 2015",85.95,89.5,85.34,88.29,MOEX
"Oct 23, 2015",88.49,92.8,87.65,92.0,MOEX
"Oct 26, 2015",92.0,95.68,90.3,95.1,MOEX
"Oct 27, 2015",94.25,95.45,89.84,92.05,MOEX
"Oct 28, 2015",91.97,92.4,90.2,91.7,MOEX
"Oct 29, 2015",91.7,91.87,90.5,91.31,MOEX
"Oct 30, 2015",91.29,92.12,89.84,89.84,MOEX
"Nov 02, 2015",90.0,92.3,90.0,91.99,MOEX
"Nov 03, 2015",91.97,93.57,91.2,91.5,MOEX
"Nov 05, 2015",92.48,93.44,90.03,91.3,MOEX
"Nov 06, 2015",90.95,92.17,90.3,90.81,MOEX
"Nov 09, 2015",90.12,91.5,89.09,90.19,MOEX
"Nov 10, 2015",89.88,91.5,89.23,90.5,MOEX
"Nov 11, 2015",90.02,92.4,89.42,91.0,MOEX
"Nov 12, 2015",91.0,91.6,86.84,87.28,MOEX
"Nov 13, 2015",87.02,88.5,85.76,87.24,MOEX
"Nov 16, 2015",86.98,91.18,86.78,91.0,MOEX
"Nov 17, 2015",91.09,95.78,91.09,94.4,MOEX
"Nov 18, 2015",93.9,95.21,93.14,93.5,MOEX
"Nov 19, 2015",93.94,95.68,92.18,93.09,MOEX
"Nov 20, 2015",93.05,93.05,91.1,92.89,MOEX
"Nov 23, 2015",93.0,94.5,92.14,94.01,MOEX
"Nov 24, 2015",94.15,94.47,91.1,93.94,MOEX
"Nov 25, 2015",93.87,95.3,93.31,94.05,MOEX
"Nov 26, 2015",94.39,95.4,94.0,94.8,MOEX
"Nov 27, 2015",94.6,102.23,92.46,97.0,MOEX
